City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
101,Meulaboh,ID,2022-01-03 04:51:24,4.1363,96.1285,83.34,70,51,3.51
102,Sitka,US,2022-01-03 04:51:25,57.0531,-135.33,28.29,59,75,10.36
103,Moron,AR,2022-01-03 04:51:25,-34.6534,-58.6198,78.55,82,78,5.1
104,Iskateley,RU,2022-01-03 04:51:25,67.6803,53.1512,-3.05,97,100,14.36
105,Pucallpa,PE,2022-01-03 04:51:26,-8.3791,-74.5539,80.64,83,40,8.05
106,Kaduqli,SD,2022-01-03 04:51:26,11.0167,29.7167,65.21,28,12,15.7
107,Gweta,BW,2022-01-03 04:51:27,-20.1833,25.2333,75.22,62,86,9.33
108,Marabba,SD,2022-01-03 04:51:27,12.35,32.1833,64.69,30,14,15.01
109,College,US,2022-01-03 04:51:28,64.8569,-147.8028,-34.01,62,20,4.61
110,Victoria,HK,2022-01-03 04:48:54,22.2855,114.1577,72.97,75,66,1.99
111,Luwuk,ID,2022-01-03 04:51:28,-0.9516,122.7875,78.51,90,100,1.39
112,Vaini,TO,2022-01-03 04:51:29,-21.2,-175.2,78.96,89,90,16.11
113,San Francisco,US,2022-01-03 04:51:29,37.7749,-122.4194,52.36,85,40,1.01
114,Havoysund,NO,2022-01-03 04:51:29,70.9963,24.6622,19.63,73,100,31.83
115,Vao,NC,2022-01-03 04:51:30,-22.6667,167.4833,78.69,82,100,16.08
116,Ahipara,NZ,2022-01-03 04:51:30,-35.1667,173.1667,71.96,65,83,7.14
117,Alofi,NU,2022-01-03 04:51:31,-19.0595,-169.9187,76.89,94,90,4.61
118,Lakes Entrance,AU,2022-01-03 04:51:31,-37.8811,147.981,69.17,61,33,8.57
119,Chokurdakh,RU,2022-01-03 04:51:32,70.6333,147.9167,-25.35,96,99,0.6
120,Tanout,NE,2022-01-03 04:51:32,14.9709,8.8879,57.24,40,99,16.84
121,Mar Del Plata,AR,2022-01-03 04:47:44,-38.0023,-57.5575,69.1,84,0,1.99
122,Saskylakh,RU,2022-01-03 04:51:33,71.9167,114.0833,-52.1,100,68,3.22
123,Jian,CN,2022-01-03 04:51:33,27.1172,114.9793,61.03,39,9,2.04
124,Recco,IT,2022-01-03 04:51:34,44.3623,9.1435,56.35,93,100,7.18
125,Olmos,PE,2022-01-03 04:51:34,-5.9847,-79.7453,68.9,68,99,3.44
126,Saint-Philippe,RE,2022-01-03 04:51:34,-21.3585,55.7679,83.79,70,25,8.34
127,Sur,OM,2022-01-03 04:51:35,22.5667,59.5289,76.5,62,100,20.2
128,Jumla,NP,2022-01-03 04:51:35,29.2747,82.1838,46.99,30,79,3.47
129,Eaglesham,GB,2022-01-03 04:51:36,55.7412,-4.2746,45.75,89,75,20.71
130,Xian,CN,2022-01-03 04:51:36,34.2583,108.9286,40.01,35,0,1.03
131,Katobu,ID,2022-01-03 04:51:37,-4.9408,122.5276,86.09,65,82,3.47
132,Bagepalli,IN,2022-01-03 04:51:37,13.7847,77.7931,70.14,50,2,9.89
133,Khatanga,RU,2022-01-03 04:51:38,71.9667,102.5,-51.95,99,72,3.76
134,Port Lincoln,AU,2022-01-03 04:51:38,-34.7333,135.8667,67.23,57,3,14.16
135,Ugoofaaru,MV,2022-01-03 04:51:38,5.6667,73.0,82.22,77,7,18.9
136,Butaritari,KI,2022-01-03 04:51:39,3.0707,172.7902,81.1,67,100,13.4
137,Port Alfred,ZA,2022-01-03 04:51:39,-33.5906,26.891,67.77,74,57,4.59
138,Okhotsk,RU,2022-01-03 04:51:40,59.3833,143.3,-1.8,90,100,8.25
139,Bam,IR,2022-01-03 04:51:40,29.106,58.357,59.05,69,73,6.46
140,Georgetown,MY,2022-01-03 04:52:41,5.4112,100.3354,87.89,64,20,14.97
141,Hilo,US,2022-01-03 04:52:41,19.7297,-155.09,74.93,89,1,6.91
142,Visby,SE,2022-01-03 04:52:42,57.6409,18.296,41.22,100,90,11.5
143,Cabo San Lucas,MX,2022-01-03 04:49:34,22.8909,-109.9124,70.52,75,53,3.24
144,Darhan,MN,2022-01-03 04:50:29,49.4867,105.9228,2.03,78,24,4.72
145,Manuk Mangkaw,PH,2022-01-03 04:52:42,4.8,119.85,79.34,78,100,5.41
146,Severo-Kurilsk,RU,2022-01-03 04:52:43,50.6789,156.125,24.98,64,46,4.85
147,Yinchuan,CN,2022-01-03 04:52:22,38.4681,106.2731,28.8,30,15,0.98
148,Taksimo,RU,2022-01-03 04:52:44,56.3444,114.8794,-18.56,92,98,1.66
149,Srednekolymsk,RU,2022-01-03 04:52:44,67.45,153.6833,-16.1,99,100,8.43
