City_ID,City,Max Temp,Current Description,Lat,Lng,Hotel Name
544,Gizo,81.45,moderate rain,-8.103,156.8419,Imagination Island
545,General Pico,79.99,clear sky,-35.6566,-63.7568,Euskadi Hotel
546,Ambon,87.94,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
548,Yaan,78.26,scattered clouds,7.3833,8.5667,
550,Auki,83.23,overcast clouds,-8.7676,160.7034,Auki Motel
551,Ulladulla,87.76,broken clouds,-35.35,150.4667,Sandpiper Motel
554,Thinadhoo,81.91,scattered clouds,0.5333,72.9333,
555,Hukuntsi,71.2,overcast clouds,-24.0,21.75,Entabeni Hotel
557,Palm Coast,70.07,broken clouds,29.585,-81.2078,Hammock Beach Golf Resort & Spa
559,Isangel,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
560,Wattegama,72.34,overcast clouds,6.7989,81.4808,
562,Bintulu,82.81,few clouds,3.1667,113.0333,900 Boutique INN
563,Port Hedland,89.65,clear sky,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
570,Dingle,82.31,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
571,Kendari,85.8,overcast clouds,-3.945,122.4989,Hotel Wixel
572,Pisco,70.02,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
581,Basoko,74.97,overcast clouds,1.2391,23.616,Jackyna Hotel
583,Pailon,77.9,scattered clouds,-17.65,-62.75,Alojamiento pailon
584,Clarence Town,87.15,clear sky,-32.5833,151.7833,River Downs Cottage
586,Charlestown,87.03,clear sky,-32.95,151.6667,Panorama Motor Inn Hotel
587,Progreso,78.91,clear sky,21.2833,-89.6667,Playa Linda Hotel
591,Guasdualito,75.2,few clouds,7.2424,-70.7324,Hotel Cuibas
602,Mount Gambier,83.17,overcast clouds,-37.8333,140.7667,The Commodore
604,Marovoay,75.34,light rain,-16.1,46.6333,Hôtel les Oliviers Marovoay
