City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
128,Hilo,19.7297,-155.09,77.25,89,51,1.99,broken clouds
129,Okhotsk,59.3833,143.3,8.62,76,100,13.67,overcast clouds
130,Makakilo City,21.3469,-158.0858,76.6,71,75,0.0,broken clouds
131,Byron Bay,-28.65,153.6167,83.71,65,72,9.31,broken clouds
132,Rocha,-34.4833,-54.3333,66.42,86,0,11.72,clear sky
133,Ahipara,-35.1667,173.1667,74.28,61,93,7.38,overcast clouds
134,Codrington,-38.2667,141.9667,74.28,53,71,13.58,broken clouds
135,Sitka,57.0531,-135.33,39.42,99,100,7.63,overcast clouds
136,Narsaq,60.9167,-46.05,12.27,89,95,3.44,overcast clouds
137,Broken Hill,-31.95,141.4333,98.49,14,0,7.7,clear sky
138,Evensk,61.95,159.2333,10.69,77,100,8.48,overcast clouds
139,Ostrovnoy,68.0531,39.5131,27.82,67,100,19.08,overcast clouds
140,Maltahohe,-24.8333,16.9833,65.59,70,1,3.44,clear sky
141,Sao Joao Da Barra,-21.6403,-41.0511,69.75,97,100,9.66,overcast clouds
142,Bira,49.0,132.4667,-3.59,80,11,1.52,few clouds
143,Murgab,37.4966,61.9714,39.63,78,57,8.46,broken clouds
144,Kosh-Agach,50.0,88.6667,-7.6,77,99,2.51,overcast clouds
145,Moron,-34.6534,-58.6198,80.02,65,77,1.01,broken clouds
146,Halifax,44.6453,-63.5724,44.22,94,100,11.01,overcast clouds
147,Lebu,-37.6167,-73.65,58.64,93,2,5.44,clear sky
148,Nishihara,26.1842,127.7558,69.46,68,40,6.91,scattered clouds
149,Sturgis,41.7992,-85.4192,21.04,68,40,8.05,scattered clouds
150,Chapada Dos Guimaraes,-15.4606,-55.7497,66.65,93,54,3.67,light rain
151,Husavik,66.0449,-17.3389,39.22,83,100,32.3,overcast clouds
152,Georgetown,5.4112,100.3354,84.13,69,20,1.01,few clouds
153,Zhanakorgan,43.9098,67.2495,30.78,79,77,6.38,broken clouds
154,Palmer,42.1584,-72.3287,38.48,83,100,3.0,overcast clouds
155,Cayenne,4.9333,-52.3333,79.09,81,0,1.99,clear sky
156,Traralgon,-38.1833,146.5333,89.85,27,0,3.11,clear sky
157,Laguna,38.421,-121.4238,54.25,81,0,1.01,clear sky
158,Ilinge,-31.9768,27.0427,69.01,62,100,9.04,overcast clouds
159,Nago,26.5881,127.9761,68.85,72,100,11.14,overcast clouds
160,Tay Ninh,11.3,106.1,79.63,72,5,4.16,clear sky
161,Nantucket,41.2835,-70.0995,47.14,92,100,28.12,light rain
162,Nemuro,43.3236,145.575,26.85,57,0,12.24,clear sky
163,Listvyagi,53.6772,86.951,8.73,92,97,10.67,overcast clouds
164,Madaoua,14.073,5.96,61.57,19,0,13.42,clear sky
165,Pena,12.089,123.9384,79.16,75,53,7.34,broken clouds
166,Lagoa,39.05,-27.9833,60.17,73,100,16.73,overcast clouds
167,Hervey Bay,-25.2986,152.8535,85.01,69,87,5.01,overcast clouds
168,Valle Hermoso,25.6667,-97.8333,76.86,79,47,15.35,light rain
169,Kruisfontein,-34.0033,24.7314,69.89,79,100,15.17,overcast clouds
170,Pochutla,15.7432,-96.4661,78.82,75,63,3.06,broken clouds
171,Naze,28.3667,129.4833,58.82,72,99,8.84,overcast clouds
172,Port Lincoln,-34.7333,135.8667,84.76,39,99,8.72,overcast clouds
173,Sorong,-0.8833,131.25,82.69,75,30,4.72,scattered clouds
174,Talara,-4.5772,-81.2719,70.48,85,73,11.1,broken clouds
175,Sretensk,52.2453,117.7093,-18.2,95,58,2.06,broken clouds
176,Kontagora,10.3999,5.4695,72.82,22,7,6.31,clear sky
177,Sur,22.5667,59.5289,66.65,61,0,2.64,clear sky
178,Luderitz,-26.6481,15.1594,61.84,96,10,4.9,clear sky
179,Vao,-22.6667,167.4833,77.36,77,0,21.94,clear sky
180,Tazovskiy,67.4667,78.7,-3.89,96,100,12.44,overcast clouds
181,Haradok,55.4624,29.9816,17.69,97,100,6.62,overcast clouds
182,Fairview,40.8126,-73.999,40.3,89,100,5.75,mist
